0,1,2,3,4,5,6,7,8,9,10
ARCN1,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARF3,1.0,FALSE,0,1.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARF4,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARFGAP1,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARFGAP2,1.0,FALSE,1,0.0,0.0,1.0,0.941255465555969,1.0,0.0,Diverged_in_single-cell
ARHGAP19,1.0,FALSE,1,1.0,0.0,1.0,0.0331088515759176,0.702062845711864,0.0,Diverged_in_single-cell
ARHGAP28,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARHGAP30,1.0,FALSE,0,1.0,0.0,1.0,,,0.0,Diverged_in_single-cell
ARHGAP40,1.0,FALSE,1,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARHGDIB,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARHGEF15,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARHGEF19,1.0,FALSE,1,0.0,0.0,1.0,0.824719117969054,1.0,0.0,Diverged_in_single-cell
ARHGEF38,1.0,FALSE,0,1.0,0.0,1.0,0.0059354853748251,0.835929119728155,0.0,Diverged_in_single-cell
ARHGEF39,1.0,FALSE,0,0.0,1.0,1.0,0.334326312088343,1.0,0.0,Diverged_in_single-cell
ARIH2OS,1.0,FALSE,0,0.0,1.0,1.0,,,0.0,Diverged_in_single-cell
ARL14EP,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARL 16.00,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARL 2.00,1.0,FALSE,0,1.0,1.0,1.0,0.0432263160513202,1.0,0.0,Diverged_in_single-cell
ARL 3.00,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARL5C,1.0,FALSE,0,1.0,0.0,1.0,0.413020771566395,1.0,0.0,Diverged_in_single-cell
ARL 9.00,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARMC9,1.0,FALSE,0,0.0,1.0,1.0,0.287808345935294,1.0,0.0,Diverged_in_single-cell
ARMCX4,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARMCX5,1.0,FALSE,0,0.0,1.0,1.0,0.78582393417339,1.0,0.0,Diverged_in_single-cell
ARPC3,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARPC4,1.0,FALSE,0,1.0,0.0,1.0,0.377865425356844,1.0,0.0,Diverged_in_single-cell
ARPC5L,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARPIN,1.0,FALSE,0,1.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARRDC3,1.0,FALSE,0,0.0,1.0,1.0,0.697158798820581,1.0,0.0,Diverged_in_single-cell
ARSA,1.0,FALSE,0,0.0,1.0,1.0,0.0110912340214193,1.0,0.0,Diverged_in_single-cell
ARSE,1.0,FALSE,0,1.0,0.0,1.0,,,0.0,Diverged_in_single-cell
ARSH,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ART3,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARTN,1.0,FALSE,0,1.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ARX,1.0,FALSE,1,0.0,0.0,1.0,0.127603247847454,1.0,0.0,Diverged_in_single-cell
ASB14,1.0,FALSE,1,0.0,0.0,1.0,0.0781197005077375,1.0,0.0,Diverged_in_single-cell
ASB15,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ASB17,1.0,FALSE,1,1.0,0.0,1.0,,,0.0,Diverged_in_single-cell
ASB3,1.0,FALSE,1,0.0,0.0,1.0,0.0161437633569464,1.0,0.0,Diverged_in_single-cell
ASCC1,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ASF1A,1.0,FALSE,0,0.0,1.0,1.0,0.346534149269854,1.0,0.0,Diverged_in_single-cell
ASF1B,1.0,FALSE,0,1.0,0.0,1.0,0.0442783675919439,1.0,0.0,Diverged_in_single-cell
ASH2L,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ASIC3,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ASIP,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ASMT,1.0,FALSE,0,0.0,1.0,1.0,1.59e-05,1.0,0.0,Diverged_in_single-cell
ASMTL,1.0,FALSE,0,0.0,1.0,1.0,1.59e-05,0.133345557377986,0.0,Diverged_in_single-cell
ASNA1,1.0,FALSE,1,0.0,0.0,1.0,,,0.0,Diverged_in_single-cell
ASNSD1,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ASPA,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ASPM,1.0,FALSE,0,0.0,1.0,1.0,0.536803460981004,1.0,0.0,Diverged_in_single-cell
ASRGL1,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ASTE1,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ATAD5,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ATF3,1.0,FALSE,0,1.0,0.0,1.0,0.720348711252676,1.0,0.0,Diverged_in_single-cell
ATG14,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ATG4A,1.0,FALSE,0,0.0,1.0,1.0,0.0093705876586878,1.0,0.0,Diverged_in_single-cell
ATOH7,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ATP10D,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ATP12A,1.0,FALSE,0,1.0,1.0,1.0,0.575820612543096,1.0,0.0,Diverged_in_single-cell
ATP2B3,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ATP4A,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ATP6AP1L,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ATP6V1C2,1.0,FALSE,0,0.0,1.0,1.0,0.353051568829493,1.0,0.0,Diverged_in_single-cell
ATP6V1D,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
